|------------------------------------------------------------------------------------------------------------------------------------
|                                COMPONENT  CENTER  REPORT
|------------------------------------------------------------------------------------------------------------------------------------
|             |                              |                              |                              |        MM         |   | 
|             |                              |                              |                              |-------------------|   | 
|   refdes    |         device type          |      value & tolerance       |        package symbol        |    x    |    y    |ang|m
|------------------------------------------------------------------------------------------------------------------------------------
C254           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                             97.924   320.442 270 N
C255           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375   260.075 180 N
C256           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            104.563   320.442 270 N
C257           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375   261.091 180 N
C258           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            106.400   320.442 270 N
C259           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350   263.572 180 N
C260           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            108.177   320.442 270 N
C261           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350   269.597 180 N
C262           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            109.960   320.442 270 N
C263           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350   272.137 180 N
C264           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            111.808   320.442 270 N
C265           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.248   335.280 180 N
C266           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            113.586   320.442 270 N
C267           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.248   337.058 180 N
C268           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            115.430   320.442 270 N
C269           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375   344.297 180 N
C270           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            117.256   320.442 270 N
C271           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375   346.075 180 N
C272           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            119.041   320.442 270 N
C273           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375   347.853 180 N
C274           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            124.834   320.442 270 N
C275           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350   349.572 180 N
C276           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            126.632   320.442 270 N
C277           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350   356.359 180 N
C278           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350   358.137 180 N
C279           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                             91.419   320.442 270 N
C280           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                             93.235   320.442 270 N
C281           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.248   249.280 180 N
C282           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                             95.013   320.442 270 N
C283           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.248   250.296 180 N
C284           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                             96.814   320.442 270 N
C285           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375   258.297 180 N
C286           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                             98.686   320.442 270 N
C287           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375   259.313 180 N
C288           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            105.325   320.442 270 N
C289           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375   261.853 180 N
C290           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            107.162   320.442 270 N
C291           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350   262.810 180 N
C292           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            108.939   320.442 270 N
C293           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350   270.359 180 N
C294           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            110.722   320.442 270 N
C295           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350   271.375 180 N
C296           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            112.570   320.442 270 N
C297           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.248   334.518 180 N
C298           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            114.348   320.442 270 N
C299           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.248   336.296 180 N
C300           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            116.141   320.442 270 N
C301           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375   343.535 180 N
C302           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            117.967   320.442 270 N
C303           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375   345.313 180 N
C304           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            119.753   320.442 270 N
C305           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.375   347.091 180 N
C306           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            125.545   320.442 270 N
C307           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350   348.810 180 N
C308           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            127.343   320.442 270 N
C309           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350   355.597 180 N
C310           C_C0201_0.22UF/6.3V            0.22UF/6.3V                    C0201                            460.350   357.375 180 N
C311           C_C0402_DISCRETE_0.1UF/10V     0.1UF/10V                      C0402                             59.590   264.033 270 N
C312           C_C0402_DISCRETE_0.1UF/10V     0.1UF/10V                      C0402                            265.930   345.921 0   N
C313           C_C0402_DISCRETE_0.1UF/10V     0.1UF/10V                      C0402                            261.045   345.377 270 N
C314           C_C0402_DISCRETE_0.1UF/10V     0.1UF/10V                      C0402                            265.049   275.082 0   N
C383           C_C0402_DISCRETE_0.1UF/10V     0.1UF/10V                      C0402                            260.223    76.327 0   N
C384           C_C0402_DISCRETE_0.1UF/10V     0.1UF/10V                      C0402                            266.681    75.946 0   N
C385           C_C0402_DISCRETE_0.1UF/10V     0.1UF/10V                      C0402                            461.238     4.450 0   N
C386           C_C0402_DISCRETE_0.1UF/10V     0.1UF/10V                      C0402                            456.666     4.450 0   N
